Country,Year,GHG,GHG_Cum,Population,Final_Rank
Algeria,1990,90.73,90.7337,25912364,36
Algeria,1991,90.17,180.9049,26554277,36
Algeria,1992,90.32,271.2271,27180921,36
Algeria,1993,98.36,369.5881,27785977,36
Algeria,1994,96.69,466.2772,28362015,36
Algeria,1995,98.75,565.0236,28904300,36
Algeria,1996,99.59,664.6169,29411839,36
Algeria,1997,103.28,767.9001,29887717,36
Algeria,1998,108.18,876.0766,30336880,36
Algeria,1999,113.67,989.75,30766551,36
Algeria,2000,117.07,1106.8215,31183658,36
Algeria,2001,114.75,1221.5692,31590320,36
Algeria,2002,121.48,1343.052,31990387,36
Algeria,2003,126.41,1469.4611,32394886,36
Algeria,2004,129.70,1599.1658,32817225,36
Algeria,2005,134.54,1733.7079,33267887,36
Algeria,2006,140.71,1874.4212,33749328,36
Algeria,2007,148.68,2023.097,34261971,36
Algeria,2008,153.69,2176.7904,34811059,36
Algeria,2009,163.85,2340.6401,35401790,36
Algeria,2010,165.59,2506.2306,36036159,36
Algeria,2011,171.75,2677.9797,36717132,36
Algeria,2012,175.88,2853.8586,37439427,36
Algeria,2013,187.27,3041.1265,38186135,36
Angola,1990,52.22,52.2201,11127870,39
Angola,1991,53.81,106.0343,11472173,39
Angola,1992,55.07,161.1087,11848971,39
Angola,1993,56.80,217.9038,12246786,39
Angola,1994,57.87,275.7771,12648483,39
Angola,1995,63.20,338.98,13042666,39
Angola,1996,63.77,402.7496,13424813,39
Angola,1997,64.53,467.2823,13801868,39
Angola,1998,67.64,534.9261,14187710,39
Angola,1999,67.68,602.605,14601983,39
Angola,2000,68.98,671.5875,15058638,39
Angola,2001,73.87,745.4536,15562791,39
Angola,2002,78.25,823.7037,16109696,39
Angola,2003,89.93,913.636,16691395,39
Angola,2004,95.73,1009.3669,17295500,39
Angola,2005,99.02,1108.3825,17912942,39
Angola,2006,105.92,1214.3046,18541467,39
Angola,2007,119.12,1333.4244,19183907,39
Angola,2008,127.00,1460.4258,19842251,39
Angola,2009,137.17,1597.5909,20520103,39
Angola,2010,147.69,1745.2785,21219954,39
Angola,2011,151.12,1896.3981,21942296,39
Angola,2012,150.53,2046.9305,22685632,39
Angola,2013,155.72,2202.6525,23448202,39
Argentina,1990,233.10,233.0957,32729740,21
Argentina,1991,237.53,470.6273,33193920,21
Argentina,1992,241.88,712.509,33655149,21
Argentina,1993,242.05,954.5591,34110912,21
Argentina,1994,252.17,1206.7302,34558114,21
Argentina,1995,253.81,1460.5425,34994818,21
Argentina,1996,262.94,1723.485,35419683,21
Argentina,1997,266.91,1990.3907,35833965,21
Argentina,1998,268.59,2258.9797,36241578,21
Argentina,1999,275.34,2534.3245,36648054,21
Argentina,2000,277.51,2811.8327,37057453,21
Argentina,2001,271.28,3083.1133,37471535,21
Argentina,2002,263.98,3347.0928,37889443,21
Argentina,2003,284.23,3631.3273,38309475,21
Argentina,2004,299.12,3930.447,38728778,21
Argentina,2005,302.67,4233.1185,39145491,21
Argentina,2006,316.23,4549.352,39558750,21
Argentina,2007,326.83,4876.1848,39969903,21
Argentina,2008,335.52,5211.7064,40381860,21
Argentina,2009,319.77,5531.4769,40798641,21
Argentina,2010,320.16,5851.6344,41222875,21
Argentina,2011,328.20,6179.8297,41655616,21
Argentina,2012,332.26,6512.0929,42095224,21
Argentina,2013,334.24,6846.3303,42538304,21
Australia,1990,478.21,478.2095,17065100,11
Australia,1991,477.08,955.2931,17284000,11
Australia,1992,477.08,1432.3712,17495000,11
Australia,1993,478.38,1910.7557,17667000,11
Australia,1994,485.48,2396.2326,17855000,11
Australia,1995,493.13,2889.3609,18072000,11
Australia,1996,495.63,3384.9932,18311000,11
Australia,1997,501.98,3886.9719,18517000,11
Australia,1998,529.98,4416.9514,18711000,11
Australia,1999,566.00,4982.9504,18926000,11
Australia,2000,588.02,5570.9711,19153000,11
Australia,2001,594.77,6165.7389,19413000,11
Australia,2002,593.98,6759.7212,19651400,11
Australia,2003,537.10,7296.8185,19895400,11
Australia,2004,583.96,7880.7744,20127400,11
Australia,2005,558.65,8439.4217,20394800,11
Australia,2006,593.30,9032.7241,20697900,11
Australia,2007,593.22,9625.9397,20827600,11
Australia,2008,573.52,10199.4607,21249200,11
Australia,2009,587.80,10787.2624,21691700,11
Australia,2010,561.62,11348.8838,22031750,11
Australia,2011,646.98,11995.8609,22340024,11
Australia,2012,648.66,12644.5191,22728254,11
Australia,2013,580.10,13224.6188,23117353,11
Bangladesh,1990,84.93,84.934,105983136,37
Bangladesh,1991,85.15,170.0834,108509679,37
Bangladesh,1992,86.99,257.0704,110987459,37
Bangladesh,1993,88.23,345.2984,113442354,37
Bangladesh,1994,90.60,435.8988,115913710,37
Bangladesh,1995,95.70,531.5957,118427768,37
Bangladesh,1996,96.51,628.1093,120987124,37
Bangladesh,1997,98.89,726.9976,123574107,37
Bangladesh,1998,99.06,826.0567,126169583,37
Bangladesh,1999,103.22,929.2784,128746273,37
Bangladesh,2000,106.06,1035.3373,131280739,37
Bangladesh,2001,111.24,1146.5765,133776064,37
Bangladesh,2002,114.50,1261.0739,136228456,37
Bangladesh,2003,115.78,1376.8493,138600174,37
Bangladesh,2004,117.41,1494.2634,140843786,37
Bangladesh,2005,121.67,1615.933,142929979,37
Bangladesh,2006,126.72,1742.656,144839238,37
Bangladesh,2007,129.55,1872.2074,146592687,37
Bangladesh,2008,139.81,2012.0156,148252473,37
Bangladesh,2009,144.21,2156.2278,149905836,37
Bangladesh,2010,152.50,2308.7245,151616777,37
Bangladesh,2011,158.14,2466.868,153405612,37
Bangladesh,2012,162.00,2628.871,155257387,37
Bangladesh,2013,163.63,2792.5008,157157394,37
Brazil,1990,556.36,556.3648,150393143,6
Brazil,1991,574.56,1130.9207,152916852,6
Brazil,1992,584.94,1715.8622,155379009,6
Brazil,1993,594.54,2310.3991,157812220,6
Brazil,1994,610.95,2921.3462,160260508,6
Brazil,1995,636.38,3557.7241,162755054,6
Brazil,1996,645.41,4203.135,165303155,6
Brazil,1997,672.70,4875.8308,167893835,6
Brazil,1998,692.90,5568.7331,170516482,6
Brazil,1999,705.38,6274.1087,173153066,6
Brazil,2000,721.78,6995.89,175786441,6
Brazil,2001,744.26,7740.1533,178419396,6
Brazil,2002,765.52,8505.6746,181045592,6
Brazil,2003,777.70,9283.3733,183627339,6
Brazil,2004,814.90,10098.2716,186116363,6
Brazil,2005,827.54,10925.8129,188479240,6
Brazil,2006,826.22,11752.0371,190698241,6
Brazil,2007,854.50,12606.5392,192784521,6
Brazil,2008,869.07,13475.606,194769696,6
Brazil,2009,856.26,14331.8635,196701298,6
Brazil,2010,931.76,15263.6215,198614208,6
Brazil,2011,954.82,16218.446,200517584,6
Brazil,2012,991.86,17210.3039,202401584,6
Brazil,2013,1017.87,18228.1784,204259377,6
Canada,1990,560.04,560.0403,27791000,7
Canada,1991,555.74,1115.7801,28171682,7
Canada,1992,570.52,1686.3023,28519597,7
Canada,1993,571.10,2257.4037,28833410,7
Canada,1994,591.00,2848.3997,29111906,7
Canada,1995,606.74,3455.1376,29354000,7
Canada,1996,624.21,4079.3495,29671900,7
Canada,1997,640.24,4719.5901,29987200,7
Canada,1998,650.31,5369.9016,30247900,7
Canada,1999,658.88,6028.786,30499200,7
Canada,2000,679.76,6708.5415,30769700,7
Canada,2001,672.67,7381.213,31081900,7
Canada,2002,681.44,8062.6514,31362000,7
Canada,2003,702.38,8765.0313,31676000,7
Canada,2004,696.69,9461.7261,31995000,7
Canada,2005,708.34,10170.0663,32312000,7
Canada,2006,695.42,10865.4816,32570505,7
Canada,2007,731.75,11597.2329,32887928,7
Canada,2008,716.99,12314.2248,33245773,7
Canada,2009,685.11,12999.3322,33628571,7
Canada,2010,699.52,13698.8519,34005274,7
Canada,2011,713.36,14412.2103,34342780,7
Canada,2012,718.57,15130.7764,34751476,7
Canada,2013,738.38,15869.1589,35155499,7
Chile,1990,46.78,46.7818,13141202,40
Chile,1991,45.75,92.533,13354054,40
Chile,1992,48.11,140.6424,13566942,40
Chile,1993,49.44,190.0853,13778676,40
Chile,1994,53.00,243.0894,13987999,40
Chile,1995,56.49,299.5772,14193986,40
Chile,1996,62.63,362.2022,14396020,40
Chile,1997,69.37,431.5757,14594070,40
Chile,1998,70.04,501.6184,14788609,40
Chile,1999,72.13,573.7484,14980484,40
Chile,2000,68.19,641.9427,15170387,40
Chile,2001,66.55,708.4941,15358418,40
Chile,2002,67.59,776.0865,15544554,40
Chile,2003,68.89,844.9777,15729268,40
Chile,2004,74.68,919.6576,15913119,40
Chile,2005,75.80,995.4577,16096571,40
Chile,2006,77.17,1072.6318,16279728,40
Chile,2007,85.12,1157.7487,16462701,40
Chile,2008,89.46,1247.2064,16645940,40
Chile,2009,86.39,1333.5962,16829957,40
Chile,2010,90.87,1424.4699,17015048,40
Chile,2011,97.54,1522.007,17201305,40
Chile,2012,99.83,1621.8363,17388437,40
Chile,2013,103.56,1725.3989,17575833,40
China,1990,3154.46,3154.4563,1135185000,2
China,1991,3301.90,6456.3527,1150780000,2
China,1992,3438.39,9894.7452,1164970000,2
China,1993,3665.44,13560.1898,1178440000,2
China,1994,3819.92,17380.1098,1191835000,2
China,1995,4205.00,21585.1144,1204855000,2
China,1996,4221.13,25806.2483,1217550000,2
China,1997,4252.72,30058.9665,1230075000,2
China,1998,4359.20,34418.1618,1241935000,2
China,1999,4293.66,38711.82,1252735000,2
China,2000,4480.39,43192.2134,1262645000,2
China,2001,4721.70,47913.9142,1271850000,2
China,2002,5051.08,52964.9892,1280400000,2
China,2003,5721.95,58686.9374,1288400000,2
China,2004,6521.66,65208.5967,1296075000,2
China,2005,7267.06,72475.6574,1303720000,2
China,2006,7932.78,80408.4374,1311020000,2
China,2007,8571.70,88980.1376,1317885000,2
China,2008,8752.41,97732.5471,1324655000,2
China,2009,9314.14,107046.6896,1331260000,2
China,2010,10108.23,117154.9195,1337705000,2
China,2011,11013.03,128167.9539,1344130000,2
China,2012,11250.40,139418.3505,1350695000,2
China,2013,11735.01,151153.3576,1357380000,2
Colombia,1990,116.65,116.6519,34271563,33
Colombia,1991,118.42,235.0724,34916770,33
Colombia,1992,121.98,357.0504,35558683,33
Colombia,1993,125.92,482.9664,36195170,33
Colombia,1994,127.88,610.8494,36823539,33
Colombia,1995,130.93,741.7821,37441980,33
Colombia,1996,131.85,873.6349,38049040,33
Colombia,1997,135.99,1009.6273,38645409,33
Colombia,1998,137.77,1147.3961,39234059,33
Colombia,1999,128.62,1276.0174,39819279,33
Colombia,2000,132.01,1408.0242,40403959,33
Colombia,2001,132.23,1540.2501,40988909,33
Colombia,2002,131.18,1671.4289,41572493,33
Colombia,2003,132.76,1804.1893,42152147,33
Colombia,2004,133.97,1938.1615,42724157,33
Colombia,2005,138.85,2077.0086,43285636,33
Colombia,2006,139.78,2216.785,43835744,33
Colombia,2007,143.55,2360.3375,44374647,33
Colombia,2008,144.49,2504.8241,44901660,33
Colombia,2009,148.67,2653.4894,45416276,33
Colombia,2010,151.67,2805.1618,45918101,33
Colombia,2011,154.69,2959.852,46406446,33
Colombia,2012,150.94,3110.7871,46881018,33
Colombia,2013,159.58,3270.3708,47342363,33
Egypt,1990,123.34,123.3388,56397273,28
Egypt,1991,127.76,251.0961,57689828,28
Egypt,1992,131.90,382.9935,58922018,28
Egypt,1993,133.22,516.2124,60108373,28
Egypt,1994,127.72,643.9348,61272847,28
Egypt,1995,135.83,779.7628,62434527,28
Egypt,1996,142.78,922.5473,63595629,28
Egypt,1997,152.18,1074.7299,64754566,28
Egypt,1998,159.49,1234.2245,65922626,28
Egypt,1999,168.15,1402.3734,67112877,28
Egypt,2000,168.61,1570.9853,68334905,28
Egypt,2001,182.28,1753.262,69599945,28
Egypt,2002,187.44,1940.7055,70908710,28
Egypt,2003,195.69,2136.3954,72247626,28
Egypt,2004,207.44,2343.8403,73596068,28
Egypt,2005,227.57,2571.4066,74942115,28
Egypt,2006,235.49,2806.8959,76274285,28
Egypt,2007,251.19,3058.0837,77605327,28
Egypt,2008,262.35,3320.4373,78976122,28
Egypt,2009,265.79,3586.2226,80442443,28
Egypt,2010,267.60,3853.8193,82040994,28
Egypt,2011,274.99,4128.8093,83787634,28
Egypt,2012,287.64,4416.45,85660902,28
Egypt,2013,272.38,4688.8285,87613909,28
France,1990,492.73,492.7267,58512808,15
France,1991,518.88,1011.6075,58559312,15
France,1992,502.19,1513.8019,58851216,15
France,1993,482.86,1996.6625,59106766,15
France,1994,479.56,2476.2183,59327194,15
France,1995,488.66,2964.8763,59541900,15
France,1996,504.05,3468.9228,59753098,15
France,1997,493.57,3962.4898,59964845,15
France,1998,511.63,4474.1187,60186291,15
France,1999,504.75,4978.8697,60496715,15
France,2000,498.73,5477.5991,60912498,15
France,2001,501.84,5979.4348,61357431,15
France,2002,493.83,6473.2687,61805267,15
France,2003,498.08,6971.345,62244884,15
France,2004,498.56,7469.9068,62704897,15
France,2005,498.11,7968.0119,63179356,15
France,2006,488.82,8456.8306,63621376,15
France,2007,481.55,8938.3759,64016229,15
France,2008,475.90,9414.2767,64374990,15
