Country,Year,GHG,GHG_previous,GHG_Cum,GHG_per_capita,Population,Final_Rank
Algeria,1990,90.73,0,90.7337,3.501417316,25912364,36
Algeria,1991,90.17,90.73,180.9049,3.395686503,26554277,36
Algeria,1992,90.32,90.17,271.2271,3.322919043,27180921,36
Algeria,1993,98.36,90.32,369.5881,3.539915116,27785977,36
Algeria,1994,96.69,98.36,466.2772,3.409137186,28362015,36
Algeria,1995,98.75,96.69,565.0236,3.416446688,28904300,36
Algeria,1996,99.59,98.75,664.6169,3.386051447,29411839,36
Algeria,1997,103.28,99.59,767.9001,3.455600172,29887717,36
Algeria,1998,108.18,103.28,876.0766,3.565956684,30336880,36
Algeria,1999,113.67,108.18,989.75,3.694596772,30766551,36
Algeria,2000,117.07,113.67,1106.8215,3.754209978,31183658,36
Algeria,2001,114.75,117.07,1221.5692,3.632441837,31590320,36
Algeria,2002,121.48,114.75,1343.052,3.79739076,31990387,36
Algeria,2003,126.41,121.48,1469.4611,3.902159125,32394886,36
Algeria,2004,129.7,126.41,1599.1658,3.952192789,32817225,36
Algeria,2005,134.54,129.7,1733.7079,4.044140224,33267887,36
Algeria,2006,140.71,134.54,1874.4212,4.1692682,33749328,36
Algeria,2007,148.68,140.71,2023.097,4.339505162,34261971,36
Algeria,2008,153.69,148.68,2176.7904,4.414976287,34811059,36
Algeria,2009,163.85,153.69,2340.6401,4.628297044,35401790,36
Algeria,2010,165.59,163.85,2506.2306,4.59510682,36036159,36
Algeria,2011,171.75,165.59,2677.9797,4.677652928,36717132,36
Algeria,2012,175.88,171.75,2853.8586,4.697721469,37439427,36
Algeria,2013,187.27,175.88,3041.1265,4.904136017,38186135,36
Angola,1990,52.22,0,52.2201,4.692721967,11127870,39
Angola,1991,53.81,52.22,106.0343,4.690480173,11472173,39
Angola,1992,55.07,53.81,161.1087,4.647660966,11848971,39
Angola,1993,56.8,55.07,217.9038,4.637951541,12246786,39
Angola,1994,57.87,56.8,275.7771,4.575252226,12648483,39
Angola,1995,63.2,57.87,338.98,4.845635087,13042666,39
Angola,1996,63.77,63.2,402.7496,4.750159276,13424813,39
Angola,1997,64.53,63.77,467.2823,4.675454076,13801868,39
Angola,1998,67.64,64.53,534.9261,4.767506525,14187710,39
Angola,1999,67.68,67.64,602.605,4.634986906,14601983,39
Angola,2000,68.98,67.68,671.5875,4.580759561,15058638,39
Angola,2001,73.87,68.98,745.4536,4.746577911,15562791,39
Angola,2002,78.25,73.87,823.7037,4.857323192,16109696,39
Angola,2003,89.93,78.25,913.636,5.387806112,16691395,39
Angola,2004,95.73,89.93,1009.3669,5.534965743,17295500,39
Angola,2005,99.02,95.73,1108.3825,5.52784685,17912942,39
Angola,2006,105.92,99.02,1214.3046,5.712600842,18541467,39
Angola,2007,119.12,105.92,1333.4244,6.209371219,19183907,39
Angola,2008,127,119.12,1460.4258,6.400483494,19842251,39
Angola,2009,137.17,127,1597.5909,6.684664302,20520103,39
Angola,2010,147.69,137.17,1745.2785,6.959958537,21219954,39
Angola,2011,151.12,147.69,1896.3981,6.887155291,21942296,39
Angola,2012,150.53,151.12,2046.9305,6.635477469,22685632,39
Angola,2013,155.72,150.53,2202.6525,6.641020919,23448202,39
Argentina,1990,233.1,0,233.0957,7.121963083,32729740,21
Argentina,1991,237.53,233.1,470.6273,7.155828537,33193920,21
